customer_id,first_name,last_name,gender,age,city,email,phone
CUST-1000,Amir,Mabrouk,Male,42,Monastir,amir.mabrouk6@yahoo.com,+21680169463
CUST-1001,Rania,Hammami,Male,24,Monastir,rania.hammami65@outlook.com,+21629681243
CUST-1002,Khalil,Jlassi,Female,21,Mahdia,khalil.jlassi68@hotmail.com,+21628416208
CUST-1003,Ons,Hammami,Female,28,Sousse,ons.hammami56@hotmail.com,+21629852686
CUST-1004,Ines,Chahed,Female,54,Ariana,ines.chahed61@hotmail.com,+21634155233
CUST-1005,Houssem,Meddeb,Female,62,Nabeul,houssem.meddeb17@outlook.com,+21682854629
CUST-1006,Ahmed,Jlassi,Female,47,Kairouan,ahmed.jlassi37@outlook.com,+21671654400
CUST-1007,Houssem,Meddeb,Female,27,Kairouan,houssem.meddeb18@gmail.com,+21680282179
CUST-1008,Youssef,Chebbi,Female,21,Ben Arous,youssef.chebbi57@hotmail.com,+21675492340
CUST-1009,Nour,Meddeb,Female,45,Sfax,nour.meddeb51@gmail.com,+21680712551
CUST-1010,Marwa,Ben Ameur,Male,46,Gabes,marwa.benameur67@outlook.com,+21645404764
CUST-1011,Sana,Hammami,Female,41,Kairouan,sana.hammami48@hotmail.com,+21668738159
CUST-1012,Youssef,Ayari,Female,61,Kairouan,youssef.ayari34@yahoo.com,+21688110826
CUST-1013,Ons,Meddeb,Male,62,Bizerte,ons.meddeb33@hotmail.com,+21642922589
CUST-1014,Ons,Slimani,Male,28,Ariana,ons.slimani21@yahoo.com,+21655285964
CUST-1015,Fares,Ayari,Female,69,Medenine,fares.ayari31@gmail.com,+21636842703
CUST-1016,Ons,Ben Ameur,Male,67,Gabes,ons.benameur45@outlook.com,+21654847888
CUST-1017,Houssem,Meddeb,Male,43,Tunis,houssem.meddeb78@hotmail.com,+21654965100
CUST-1018,Khalil,Slimani,Female,43,Medenine,khalil.slimani82@gmail.com,+21649013133
CUST-1019,Rania,Chahed,Male,33,Monastir,rania.chahed3@gmail.com,+21673439153
CUST-1020,Ons,Ayari,Female,28,Sfax,ons.ayari37@yahoo.com,+21641084135
CUST-1021,Rania,Meddeb,Male,26,Gabes,rania.meddeb90@outlook.com,+21697588941
CUST-1022,Rania,Chahed,Male,47,Kairouan,rania.chahed22@outlook.com,+21623760861
CUST-1023,Youssef,Jlassi,Female,38,Sousse,youssef.jlassi45@gmail.com,+21646817596
CUST-1024,Ahmed,Meddeb,Male,23,Medenine,ahmed.meddeb92@gmail.com,+21636065195
CUST-1025,Sana,Mabrouk,Female,20,Ben Arous,sana.mabrouk3@gmail.com,+21634942782
CUST-1026,Aymen,Chahed,Male,29,Nabeul,aymen.chahed41@hotmail.com,+21623771279
CUST-1027,Nour,Trabelsi,Male,34,Medenine,nour.trabelsi41@gmail.com,+21687250634
CUST-1028,Amir,Chahed,Female,34,Mahdia,amir.chahed89@gmail.com,+21671946812
CUST-1029,Ons,Ayari,Female,27,Mahdia,ons.ayari36@gmail.com,+21649968200
CUST-1030,Ines,Mabrouk,Male,45,Mahdia,ines.mabrouk29@yahoo.com,+21682103409
CUST-1031,Khalil,Meddeb,Male,37,Tunis,khalil.meddeb22@yahoo.com,+21664944176
CUST-1032,Rania,Chahed,Male,18,Sfax,rania.chahed29@gmail.com,+21656034835
